Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Reason,K,Comments
336,2611244,9808,2002,OLDSMOBILE,BROVADO,1GHDT13S322425693,ACCIDENT,K,
337,2604495,9494,2009,FORD,ECONOLINE,1FTSE34L89DA05727,CITY SURPLUS VEHICLE,,
338,2605661,9564,2006,CHEVROLET,IMPALA,2G1WB55K069379374,ARREST,K,STARTS 
339,2578169,8190,1996,PONTIAC,FIREBIRD,2G2FS22K9T2214989,ILLEGALLY PARKED, ,
340,2604492,9497,2002,FORD,F150,2FDPF17M82CA57856,CITY SURPLUS VEHICLE,K,
341,2605592,9558,1998,CHRYSLER,CONCORDE,2C3HD46J7WH177491,ACCIDENT, ,
342,2611173,9807,1995,FORD,WINDSTAR,2FMDA5148SBB08862,ABANDONED, ,
343,2614012,9990,2004,CHRYSLER,PACIFICA,2C8GM68434R537646,ACCIDENT,K,
344,2604503,9492,2003,FORD,ECONOLINE,1FTSS34F63HA75150,CITY SURPLUS VEHICLE,K,STARTS 
345,2604520,9491,2008,FORD,RANGER,1FTYR10U18PA85161,CITY SURPLUS VEHICLE,K,STARTS 
346,2607748,9667,2005,KIA,SPORTAGE,KNDJF724157104135,ACCIDENT, ,
347,2612788,9910,2003,FORD,MUSTANG,1FAFP44423F450153,ACCIDENT, ,
348,2604521,9493,2006,CHEVROLET,EXPRESS,1GNFG15X861248928,CITY SURPLUS VEHICLE, ,
349,2612396,9871,1999,LINCOLN,TOWN CAR,1LNHM82W0XY687592,ILLEGALLY PARKED, ,
350,2598464,9187,2003,CHEVROLET,EXPRESS,1GBJG31UX31125609,ABANDONED, ,
351,2608550,9703,2003,TOYOTA,TUNDRA,5TBBT44143S376804,ACCIDENT, ,
352,2610732,9791,2001,CHRYSLER,PT CRUISER,3CAFY4BB81T253920,ABANDONED, ,
353,2613594,9954,2001,CHRYSLER,VOYAGER,1C4GJ25B61B273418,OTHER, ,
354,2608628,9709,2008,MITSUBISHI,LANCER,JA3AU26U08U003420,ACCIDENT, ,
355,2608950,9718,2000,FORD,ECONOLINE,1FTNS2427YHA70129,ACCIDENT, ,
356,2605540,9556,2009,NISSAN,MURANO,JN8AZ18W09W161178,ACCIDENT, ,
357,2610137,9762,2001,GMC,YUKON,1GKEK13TX1J173147,ACCIDENT,,
358,2610577,9784,2005,FORD,ESCAPE,1FMCU94105KD63687,ABANDONED, ,
359,2606891,9626,1994,DODGE,DAKOTA,1B7GG23X4RS605638,OTHER, ,
360,2606920,9630,2002,FORD,EXPLORER,1FMZU72K02ZC73582,ACCIDENT, ,
361,2606970,9631,1994,MERCURY,GRAND MARQ,2MELM75W8RX608966,ARREST, ,
362,2606987,9633,2003,KIA,OTHER,KNADC165236098349,ILLEGALLY PARKED, ,
363,2609992,9757,2005,FORD,ESCAPE,1FMYU02Z55KE08827,ACCIDENT, ,
364,2604841,9520,2009,CHEVROLET,MALIBU,1G1ZJ57B79F227553,STOLEN,,
365,2608342,9694,2006,HONDA,CIVIC,JHMFA16526S000576,ACCIDENT,K,
366,2607617,9663,1988,LINCOLN,TOWN CAR,1LNBM82F9JY827166,ABANDONED, ,
367,2607514,9658,2000,PONTIAC,GRAND AM,1G2NF52E0YM834658,ILLEGALLY PARKED, ,
368,2611489,9840,2008,DODGE,DAKOTA,1D7HE42K88S567007,ARREST,K,STARTS 
369,2607490,9656,2011,KIA,SORENTO,5XYKT3A13BG075748,STOLEN,K,PREMIUMSTARTS
370,2606924,9627,1996,LEXUS,LS 400,JT8BH22F8T0044362,ACCIDENT, ,
371,2607480,9654,1997,DODGE,GRAND CARA,1B4GP54L5VB243386,ABANDONED, ,
372,2608789,9710,1999,MERCEDES,E-CLASS,WDBJF65H5XA939295,ILLEGALLY PARKED, ,
373,2606315,9586,2011,CHEVROLET,EQUINOX,2CNALDEC8B6426806,ACCIDENT,K,
374,2608229,9687,1998,FORD,F150,1FTZX18W7WKA73820,ARREST,K,
375,2608819,9711,2005,MERCURY,SABLE,1MEFM50225A624587,ABANDONED, ,
376,2614480,10008,2003,FORD,WINDSTAR,2FMZA51463BA96170,ABANDONED, ,
377,2607549,9660,2008,CHRYSLER,300,2C3KA43R18H191687,ABANDONED, ,
378,2612361,9873,2001,KAWASAKI,OTHER,JKABNRA121DA03561,ARREST,K,
379,2612380,9874,2008,KAWASAKI,OTHER,JKAVN2C198A016446,ACCIDENT,K,
380,2610686,9790,2006,HONDA,MC - CBR-SERIES,JH2PC37016M300278,ARREST,K,STARTS 
383,2614630,10014,1993,MITSUBISHI,3000GT,JA3BM64J6PY017981,ARREST,K,
393,2598485,9181,2001,TRAILER-GENERIC,TRAILER,48MUS16271S041125,ACCIDENT, ,
414,2614093,9995,2003,DODGE,DURANGO,1D4HS38NX3F528390,ACCIDENT, ,
415,2614413,10006,1996,GMC,YUKON,1GKEK13R4TJ735213,ARREST,K,
417,2603178,9415,-,TRAILER-GENERIC,TRAILER,NO VIN,ABANDONED, ,
418,2598487,9186,2003,CHEVROLET,EXPRESS,1GBJG31U231167305,ABANDONED, ,
419,2588857,8700,2002,FORD,FOCUS,1FAFP33P72W307753,OTHER, ,
420,2613816,9964,1997,FORD,F150,1FTDX1769VKB17293,ACCIDENT, ,
422,2604830,9518,1998,SUBARU,LEGACY,4S3BD6759W7200652,ABANDONED, ,
425,2614100,9999,2002,MITSUBISHI,GALLANT,4A3AA36G92E122222,ACCIDENT, ,
428,2613179,9930,2012,CHEVROLET,MALIBU,1G1ZB5E09CF273438,ABANDONED, ,
429,2611678,9848,2002,CHEVROLET,CAMARO,2G1FP22K022131763,ILLEGALLY PARKED, ,
430,2610562,9785,2000,CHEVROLET,IMPALA,2G1WH55K4Y9239751,ABANDONED, ,
431,2615860,10091,1999,FORD,MUSTANG,1FAFP4041XF112609,ARREST,K,
432,2615089,10036,2007,MAZDA,OTHER,JM1FE173670208847,ILLEGALLY PARKED, ,
433,2612778,9914,2000,NISSAN,SENTRA,3N1CB51D4YL350707,ARREST,K,
434,2579552,900657,2001,NISSAN,MAXIMA,JN1CA31D81T839930,LOAD VEHICLE/PARTS, ,
435,2613988,9988,2002,CHEVROLET,SILVERADO,2GCEK19T521351819,STOLEN, ,
436,2613472,9947,2005,FORD,FREESTAR,2FMZA57615BA62729,ACCIDENT, ,
437,2615122,10037,1999,CHEVROLET,SILVERADO,1GCEK19TXXE119920,ACCIDENT,K,
438,2610705,9792,1997,JEEP,GRAND CHER,1J4GZ58Y5VC704710,ABANDONED, ,
439,2610532,9783,2000,CHEVROLET,ASTRO VAN,1GNDM19W0YB157344,ARREST,K,
440,2614672,10017,2003,VOLKSWAGEN,JETTA,3VWSK69M33M034377,ABANDONED, ,
441,2612889,9918,2002,HYUNDAI,ELANTRA,KMHDN45DX2U438179,ABANDONED, ,
442,2615732,10085,2001,CHEVROLET,PRIZM,1Y1SK52891Z426457,ARREST, ,
443,2611400,9829,2007,BUICK,LUCERNE,1G4HD57227U237647,ILLEGALLY PARKED, ,
444,2588745,8692,1998,MERCEDES,SLK-CLASS,WDBKK47F8WF069057,ACCIDENT, ,
